case_id,source_arm,attempt_id,command_or_url,resolved_id,title,source,year,main_text_status,chars_returned,lines_returned,sections_status,figures_status,tables_status,supplements_status,elapsed_seconds,steps,false_positive_count,map_n_honored,notes
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-lookup-doi,lookup doi 10.1371/journal.pbio.2002468,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=famulare-2018-plosbio__lookup_doi.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-lookup-pmid,lookup pmid 29702638,PMC5942853,,,,resolved,,,,,,,,,,,PMID lookup; packet=famulare-2018-plosbio__lookup_pmid.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-search-title,"search -t --all ""Assessing the stability of polio eradication after the withdrawal of oral polio vaccine"" -n 5",PMC5942853,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=famulare-2018-plosbio__search_title.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-ls,ls /papers/PMC5942853/,PMC5942853,,,,,,,,,,,,,,,ls; packet=famulare-2018-plosbio__ls.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-wc,wc /papers/PMC5942853/content.lines,PMC5942853,,,,,1081313,252,,,,,,,,,wc; packet=famulare-2018-plosbio__wc.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-ls-supplements,ls /papers/PMC5942853/supplements/,PMC5942853,,,,,,,,,,,,,,,supplement ls; packet=famulare-2018-plosbio__ls_supplements.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-grep-supplement,"grep -n -i -m 5 ""supplement|appendix"" /papers/PMC5942853/content.lines",PMC5942853,,,,,,,,,,,,,,,supplement grep; merged-content-flag=False; packet=famulare-2018-plosbio__grep_supplement.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-lookup-doi,lookup doi 10.1371/journal.pbio.2002468,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=famulare-2018-plosbio__lookup_doi.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-lookup-pmid,lookup pmid 29702638,PMC5942853,,,,resolved,,,,,,,,,,,PMID lookup; packet=famulare-2018-plosbio__lookup_pmid.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-search-title,"search -t --all ""Assessing the stability of polio eradication after the withdrawal of oral polio vaccine"" -n 5",PMC5942853,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=famulare-2018-plosbio__search_title.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-ls,ls /papers/PMC5942853/,PMC5942853,,,,,,,,,,,,,,,ls; packet=famulare-2018-plosbio__ls.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-wc,wc /papers/PMC5942853/content.lines,PMC5942853,,,,,1081313,252,,,,,,,,,wc; packet=famulare-2018-plosbio__wc.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-ls-supplements,ls /papers/PMC5942853/supplements/,PMC5942853,,,,,,,,,,,,,,,supplement ls; packet=famulare-2018-plosbio__ls_supplements.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-grep-supplement,"grep -n -i -m 5 ""supplement|appendix"" /papers/PMC5942853/content.lines",PMC5942853,,,,,,,,,,,,,,,supplement grep; merged-content-flag=False; packet=famulare-2018-plosbio__grep_supplement.txt
famulare-2018-plosbio,Paperclip MCP,famulare-2018-plosbio-map-n-probe,"map --from s_c224dc93 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_c224dc93,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=famulare-2018-plosbio__map_n_probe.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-lookup-doi,lookup doi 10.1056/NEJMc2008646,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=sfs-nejm-2020__lookup_doi.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-lookup-pmid,lookup pmid 32356944,PMC7206929,,,,resolved,,,,,,,,,,,PMID lookup; packet=sfs-nejm-2020__lookup_pmid.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-search-title,"search -t --all ""Early Detection of Covid-19 through a Citywide Pandemic Surveillance Platform"" -n 5",med_183e39876dca,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=sfs-nejm-2020__search_title.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-ls,ls /papers/PMC7206929/,PMC7206929,,,,,,,,,,,,,,,ls; packet=sfs-nejm-2020__ls.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-wc,wc /papers/PMC7206929/content.lines,PMC7206929,,,,,249687,3475,,,,,,,,,wc; packet=sfs-nejm-2020__wc.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-ls-supplements,ls /papers/PMC7206929/supplements/,PMC7206929,,,,,,,,,,,,,,,supplement ls; packet=sfs-nejm-2020__ls_supplements.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-grep-supplement,"grep -n -i -m 5 ""supplement|appendix"" /papers/PMC7206929/content.lines",PMC7206929,,,,,,,,,,,,,,,supplement grep; merged-content-flag=True; packet=sfs-nejm-2020__grep_supplement.txt
sfs-nejm-2020,Paperclip MCP,sfs-nejm-2020-map-n-probe,"map --from s_a135f657 -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_a135f657,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=sfs-nejm-2020__map_n_probe.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-lookup-doi,lookup doi 10.1146/annurev.micro.58.030603.123625,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=kew-2005-opv-review__lookup_doi.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-lookup-pmid,lookup pmid 16153180,,,,,not resolved,,,,,,,,,,,PMID lookup; packet=kew-2005-opv-review__lookup_pmid.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-search-title,"search -t --all ""Vaccine-derived polioviruses and the endgame strategy for global polio eradication"" -n 5",med_ef5c8f1f6c08,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=kew-2005-opv-review__search_title.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-ls,ls /papers/med_ef5c8f1f6c08/,med_ef5c8f1f6c08,,,,,,,,,,,,,,,ls; packet=kew-2005-opv-review__ls.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-wc,wc /papers/med_ef5c8f1f6c08/content.lines,med_ef5c8f1f6c08,,,,,63027,270,,,,,,,,,wc; packet=kew-2005-opv-review__wc.txt
kew-2005-opv-review,Paperclip MCP,kew-2005-opv-review-map-n-probe,"map --from s_33cd8f0d -n 1 ""What is the central mechanistic or empirical claim of THIS paper only?""",s_33cd8f0d,,,,tasks=5/5,,,,,,,,,,no,map -n 1 probe; honored=no; packet=kew-2005-opv-review__map_n_probe.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-lookup-doi,lookup doi 10.1038/s41591-021-01377-8,,,,,not resolved,,,,,,,,,,,DOI lookup; packet=khoury-2021-natmed__lookup_doi.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-lookup-pmid,lookup pmid 34002089,,,,,not resolved,,,,,,,,,,,PMID lookup; packet=khoury-2021-natmed__lookup_pmid.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-search-title,"search -t --all ""Neutralizing antibody levels are highly predictive of immune protection from symptomatic SARS-CoV-2 infection"" -n 5",med_19bd1cbe73d5,,,,title-search-returned-5-results,,,,,,,,,,,Title search; packet=khoury-2021-natmed__search_title.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-ls,ls /papers/med_19bd1cbe73d5/,med_19bd1cbe73d5,,,,,,,,,,,,,,,ls; packet=khoury-2021-natmed__ls.txt
khoury-2021-natmed,Paperclip MCP,khoury-2021-natmed-wc,wc /papers/med_19bd1cbe73d5/content.lines,med_19bd1cbe73d5,,,,,54947,178,,,,,,,,,wc; packet=khoury-2021-natmed__wc.txt
