case_id,run_id,starting_input,steps,identity_validated,supplements_checked,versions_checked,trial_registry_checked,conflicts,final_answer_file,added_value_classification,elapsed_minutes,steps_count,notes
famulare-2018-plosbio,hyb-fam-001,DOI/PMID/title,"web identity -> Paperclip PMID lookup (DOI missed) -> Paperclip ls/wc/grep -> local PDF main+S1 slices",yes,partial,yes,not applicable,Paperclip DOI miss; map -n contamination,synthesis_outputs/famulare-2018-plosbio__hybrid.md,B,3,4,"Paperclip exposed supplement filenames pbio.2002468.s001.pdf and pbio.2002468.s002.zip; PLOS landing page would expose the same — Paperclip path was a speed win, not a uniqueness win. Reclassified A->B post-adversarial-review per adversarial_review_response.md C4."
sfs-nejm-2020,hyb-sfs-001,PMID/title,"web identity -> Paperclip PMID lookup -> Paperclip wc/grep -> supplement check (empty dir + merged content discovered)",yes,wrong-content-organization,not applicable,not applicable,Paperclip supplements/ empty BUT content.lines contains '# Supplementary Appendix' header,synthesis_outputs/sfs-nejm-2020__hybrid.md,D,2,3,"Diagnostic only: Paperclip's grep revealed that the supplement was merged into content.lines without programmatic separator. This is a wrong-content-organization defect to know about, not synthesis value Paperclip added beyond web."
kew-2005-opv-review,hyb-kew-001,DOI/PMID/title,"web identity -> Paperclip DOI miss + PMID miss + title search miss -> local PDF (front-matter only) -> fall back to web abstract",yes,not applicable,not applicable,not applicable,Paperclip missed entirely (Annual Reviews not indexed),synthesis_outputs/kew-2005-opv-review__hybrid.md,C,2,3,"Paperclip-rescue: web abstract carried the synthesis after Paperclip failed both DOI and PMID lookups."
khoury-2021-natmed,hyb-khoury-001,DOI/PMID/title,"web identity (final Nat Med) -> Paperclip DOI miss + PMID miss -> Paperclip title search returned medRxiv PREPRINT not final -> fall back to web final abstract",yes,not applicable,wrong-version-returned,not applicable,Paperclip returned preprint when final was requested,synthesis_outputs/khoury-2021-natmed__hybrid.md,C,2,3,"Paperclip-rescue + version-failure: web identified final 20.2% / 3% / 250-day numbers; Paperclip's wrong-version retrieval would have caused KB version pollution."
hornick-typhoid,hyb-hornick-001,PMID,"web identity (pre-1980 NEJM no abstract) -> Paperclip PMID miss + title search miss (returned Okyere 2024) -> local PDFs OCR-failed (watermark only)",yes,not applicable,not applicable,not applicable,All three arms failed at content level,synthesis_outputs/hornick-typhoid__hybrid.md,E,3,3,"No added value from any arm beyond identity. Honest E classification — Paperclip miss + OCR failure + pre-1980 NEJM no abstract."
thakkar-famulare-arxiv,hyb-thakkar-001,arXiv IDs,"web identity (rate-limited, inline metadata only) -> Paperclip arXiv lookup BOTH SUCCEED -> Paperclip ls/wc inventory -> local PDF (2023 only)",yes,not applicable,partial,not applicable,arXiv API rate-limited; Paperclip provided primary identity confirmation,synthesis_outputs/thakkar-famulare-arxiv__hybrid.md,F,2,3,"Paperclip arXiv lookup succeeded when external arXiv API was rate-limited during this session; backup-when-web-degraded redundancy, not a uniqueness contribution. Reclassified A->F post-adversarial-review per adversarial_review_response.md C4. F added as new classification value."
nigeria-2015-versioning,hyb-nigeria-001,arXiv ID + DOI,"web identity (v1 2015-04-10 + v2 2015-07-10 + PLOS ONE 2015-08-28) -> Paperclip arXiv lookup -> Paperclip returned version-collapsed record",yes,not applicable,wrong-version-handling,not applicable,Paperclip collapsed v1/v2/final into single record,synthesis_outputs/nigeria-2015-versioning__hybrid.md,C,2,3,"Paperclip-rescue/diagnostic mix: web preserved version lineage that Paperclip cannot distinguish. Critical for KB version-aware ingestion."
cheslock-1960-ocr,hyb-cheslock-001,Filename,"local PDF (head + tail OCR slices) -> Paperclip title search returned Gregory 2013 (wrong paper) -> no web/API (no PMID)",yes,not applicable,not applicable,not applicable,Paperclip returned wrong paper as top hit,synthesis_outputs/cheslock-1960-ocr__hybrid.md,C,3,3,"Paperclip-rescue: local PDF carried identity confirmation; Paperclip's substitution risk made flagged but explicitly refused."
nct04232943-pmid36746739,hyb-nct-001,NCT + PMID,"ClinicalTrials.gov v2 API (registry) -> PubMed esummary + abstract -> Paperclip PMID lookup -> Paperclip search trials/us (false positive NCT04544787 + map UUID error)",yes,partial,not applicable,yes,trial map UUID failure + false-positive NCT04544787,synthesis_outputs/nct04232943-pmid36746739__hybrid.md,D,3,4,"Diagnostic + reading convenience: ClinicalTrials.gov is registry truth. Paperclip's trial-map UUID failure is critical KB knowledge. Paperclip useful for reading paper content but not as bridge engine."
heldout-tbe-vaccine,hyb-tbe-001,PMID,"web identity + abstract (Lehrer & Holbrook 2011) -> Paperclip PMID miss -> Paperclip title search returned 5 TBE neighbors not target",yes,not applicable,not applicable,not applicable,Paperclip missed (Vaccine journal not indexed),synthesis_outputs/heldout-tbe-vaccine__hybrid.md,C,2,2,"Paperclip-rescue: web abstract carried full synthesis. Paperclip missed despite reasonable target."
