case_id,case_family,case_type,selection_type,known_or_heldout,wheelhouse,query_seed,target_identifiers,source_of_record,required_roles,required_paper_types,include_in_synthesis,notes
famulare-2018-plosbio,Famulare 2018 PLOS Biology plus bioRxiv lineage,supplement-heavy/versioned,known-target,known,yes,"Assessing the stability of polio eradication after the withdrawal of oral polio vaccine","PMID:29702638;PMCID:PMC5942853;DOI:10.1371/journal.pbio.2002468;bioRxiv:10.1101/084012",PubMed/PLOS/bioRxiv,"source resolver;document reader;version resolver;supplement resolver;synthesis","open PMC article;supplement-heavy paper;preprint with final",yes,"Canonical Paperclip DOI-miss / title-search-success case from pass-2."
sfs-nejm-2020,Seattle Flu Study NEJM/PMC consortium record,consortium/supplement-heavy,known-target,known,yes,"Early Detection of Covid-19 Citywide Pandemic Surveillance Platform","PMID:32356944;PMCID:PMC7206929;DOI:10.1056/NEJMc2008646",PubMed/PMC/NEJM,"source resolver;document reader;supplement resolver;synthesis","open PMC article;supplement-merged-into-main-content",yes,"Canonical content-organization spot-check; supplement merged into content.lines."
kew-2005-opv-review,Kew 2005 OPV review,review,known-target,known,yes,"Vaccine-derived polioviruses and the endgame strategy for global polio eradication","PMID:16153180;DOI:10.1146/annurev.micro.58.030603.123625",PubMed/Annual Reviews/local PDF,"source resolver;document reader;synthesis","review;Annual Reviews journal class",yes,"Canonical exact-ID miss case (Annual Reviews); test index-scope hypothesis."
khoury-2021-natmed,Khoury Nature Medicine final plus medRxiv lineage,versioned correlate paper,known-target,known,yes,"Neutralizing antibody levels predictive of immune protection SARS-CoV-2","PMID:34002089;DOI:10.1038/s41591-021-01377-8;medRxiv:10.1101/2021.03.09.21252641",PubMed/Nature/medRxiv,"source resolver;document reader;version resolver","journal final with preprint;correlate paper",yes,"Canonical preprint-returned-when-final-requested case."
hornick-typhoid,Hornick typhoid challenge paper(s),old human challenge,known-target,known,yes,"Typhoid fever pathogenesis and immunologic control Hornick","PMID:4916913;NEJM 1970",PubMed/NEJM/local PDF,"source resolver;document reader;OCR/layout","old scanned;pre-1980;human challenge",yes,"Canonical pre-1980 + OCR stress case."
thakkar-famulare-arxiv,Thakkar/Famulare arXiv papers,theory/math preprint,known-target,known,yes,"transmission forest COVID-19 epidemiology generating function","arXiv:2205.02150;arXiv:2311.16317",arXiv,"source resolver;document reader;version resolver","math/theory preprint",yes,"Notation-aware reading; tests arXiv coverage."
nigeria-2015-versioning,Nigeria arXiv/PLOS ONE versioning,preprint/journal version lineage,known-target,known,yes,"Has wild poliovirus been eliminated from Nigeria?","arXiv:1504.02751;PMID:26317401;DOI:10.1371/journal.pone.0135765",arXiv/PLOS ONE/PubMed,"source resolver;version resolver;synthesis","preprint with multiple versions;journal final",yes,"Canonical version-lineage case; arXiv v1 vs v2 vs PLOS ONE final."
cheslock-1960-ocr,Cheslock/McCully B6 diet scan,OCR/layout,known-target,known,yes,"Response of human beings to a low vitamin B6 diet","local:Cheslock_McCULLY_1960_Response_of_human_beings_to_a_low_vitamin_B6_diet.pdf",local PDF,"document reader;OCR/layout","old scanned article",yes,"Local-only OCR stress case."
nct04232943-pmid36746739,IPV dmLT bOPV trial-paper pair,trial/paper bridge,known-target,known,yes,"NCT04232943 PMID 36746739","NCT:NCT04232943;PMID:36746739;PMCID:PMC9996288;DOI:10.1016/j.vaccine.2023.01.048",ClinicalTrials.gov/PubMed/PMC,"source resolver;document reader;trial/paper bridge;synthesis","clinical trial registry plus paper",yes,"Canonical trial/paper bridge + Paperclip trial-map failure case."
heldout-tbe-vaccine,Tick-borne encephalitis vaccine schedule,concept-discovery,held-out-source-of-record,heldout,no,"tick-borne encephalitis vaccine schedule Europe","PMID:23997980",PubMed,"source resolver;cross-source query;synthesis","review;vaccine schedule",yes,"Held-out 1: outside wheelhouse vaccine literature."
heldout-hepc-ns5a,Hepatitis C direct-acting antivirals,concept-discovery,held-out-source-of-record,heldout,no,"hepatitis C NS5A resistance mutations DAA","PMID:26904396",PubMed,"source resolver;cross-source query;synthesis","review;virology/pharmacology",yes,"Held-out 2: HCV antiviral resistance domain."
heldout-tafamidis-attr,Tafamidis ATTR-ACT NEJM pivotal,concept-discovery,held-out-source-of-record,heldout,no,"tafamidis ATTR cardiac amyloidosis randomized trial","PMID:30145929",PubMed,"source resolver;document reader;cross-source query;synthesis","RCT;cardiology",yes,"Held-out 3: cardiology pivotal RCT NEJM 2018."
heldout-snakebite,Snakebite antivenom rat efficacy,concept-discovery,held-out-source-of-record,heldout,no,"snakebite envenomation antivenom efficacy randomized","PMID:29363648",PubMed,"source resolver;cross-source query;synthesis","preclinical animal study;toxinology",yes,"Held-out 4: tropical/preclinical envenomation."
heldout-podoconiosis,Podoconiosis HLA genetic association,concept-discovery,held-out-source-of-record,heldout,no,"podoconiosis genetic susceptibility HLA","PMID:33558538",PubMed,"source resolver;cross-source query;synthesis","genetic association;NTD",yes,"Held-out 5: NTD genetics in Ethiopian populations."
