case_id,source_arm,synthesis_file,scorer1_id,scorer2_id,evidence_fidelity,missing_detail_control,unsupported_claim_detection,version_provenance_fidelity,supplement_protocol_table_figure_use,traceability,domain_usefulness,time_friction,overall_score,caps_applied,adjudication_status,scorer1_output,scorer2_output,notes
cheslock-1960-ocr,hybrid,synthesis_outputs/cheslock-1960-ocr__hybrid.md,A,B,4,5,5,NA,3,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identity correct from filename + head slice; Paperclip miss flagged; honest about no body content beyond design. | B_rationale: Identity solid; flags Paperclip miss + slice-only content; clean cross-arm reconciliation.
cheslock-1960-ocr,local,synthesis_outputs/cheslock-1960-ocr__local.md,A,B,4,5,4,NA,3,4,3,2,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: OCR slice exposes title/design/52-day depletion; explicitly refuses to claim results or numbers. | B_rationale: Head/tail slice only; correctly bounds claims to slice evidence and OCR limits.
cheslock-1960-ocr,paperclip,synthesis_outputs/cheslock-1960-ocr__paperclip.md,A,B,4,5,5,NA,NA,4,2,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Correct refusal — target absent from corpus; refuses to substitute Gregory 2013; not useful for ingestion but honest. | B_rationale: Honest miss; refuses substitution from Gregory 2013; no target content. | DIVERGENCE: A=NA;B=4
famulare-2018-plosbio,hybrid,synthesis_outputs/famulare-2018-plosbio__hybrid.md,A,B,5,4,4,4,4,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: All three sources triangulate; correctly identifies S1 Text, three calibration cohorts, DOI-miss + map contamination flagged. | B_rationale: Strongest of three arms; integrates web identity + Paperclip + local preprint slices; flags DOI miss and S1 Text vocabulary mismatch."
famulare-2018-plosbio,local,synthesis_outputs/famulare-2018-plosbio__local.md,A,B,4,4,4,4,4,4,4,3,4,,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Identifies bioRxiv preprint version explicitly; surfaces S1 TOC, N_Ab, three datasets; truncated on key sentence. | B_rationale: Identifies bioRxiv preprint version explicitly; S1 TOC surfaces structure; cautious on body content."
famulare-2018-plosbio,paperclip,synthesis_outputs/famulare-2018-plosbio__paperclip.md,A,B,2,4,4,2,2,3,2,2,3,supplement-heavy + versioned without validated labels → MD/VP/overall ≤ 3 || Supplement-heavy without validated supplement inventory (MD≤3 effectively); VP no version label,auto-merged,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Identifies paper but never reads body or supplements; map truncated and contaminated; version not addressed. | B_rationale: Map contaminated; supplement files listed but not read; preprint/final distinction not surfaced.
famulare-2018-plosbio,web,synthesis_outputs/famulare-2018-plosbio__web.md,A,B,4,4,5,4,1,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Final paper identified with preprint lineage noted; abstract-only as expected; appropriately scoped. | B_rationale: Clean abstract-only synthesis; no supplement access by design; clear refusals where appropriate. | DIVERGENCE: A=NA;B=1
heldout-hepc-ns5a,hybrid,synthesis_outputs/heldout-hepc-ns5a__hybrid.md,A,B,4,4,5,4,3,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,A_rationale: Convergent identity (PMID + Paperclip); full abstract; correctly notes NS5A specifics not body-sourced. | B_rationale: Identity converges across arms; full abstract present; appropriately bounded NS5A claims. | DIVERGENCE: A=4;B=NA; A=3;B=NA
heldout-hepc-ns5a,paperclip,synthesis_outputs/heldout-hepc-ns5a__paperclip.md,A,B,4,5,5,3,2,4,3,3,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Target identified by PMID lookup but body never opened; honest about lack of evidence. | B_rationale: Target identified, content not opened; honest about gap; refuses contaminant substitution. | DIVERGENCE: A=3;B=NA"
heldout-hepc-ns5a,web,synthesis_outputs/heldout-hepc-ns5a__web.md,A,B,4,4,5,4,NA,4,4,4,4,,needs-review,scorer_packets/output/scorerA_all.md,scorer_packets/output/scorerB_all.md,"A_rationale: Full abstract with cure-rate numbers, drug classes, pipeline; appropriately abstract-bounded. | B_rationale: Abstract-only synthesis with appropriate refusal on NS5A mechanism details. | DIVERGENCE: A=4;B=NA"
