case_id,source_arm,resolved_id,supplement_status,source_of_record_supplements,paperclip_supplements,local_supplements,web_supplements,protocol_or_sap_status,figure_table_status,content_organization_flag,inventory_validated,notes
famulare-2018-plosbio,hybrid,combined,not-validated,"pbio.2002468.s001.pdf, pbio.2002468.s002.zip","pbio.2002468.s001.pdf, pbio.2002468.s002.zip (listed via ls; not opened)",S1 Text (17 pages; TOC + final references only),"pbio.2002468.s001.pdf, pbio.2002468.s002.zip (per PMC landing page)",not-applicable,partial,clean,partial,"S1 Text TOC visible from local PDF; s002.zip contents unread; Paperclip ls confirms files exist. Source: synthesis_outputs/famulare-2018-plosbio__hybrid.md"
famulare-2018-plosbio,local,bioRxiv preprint PDF (10.1101/084012),partial,"pbio.2002468.s001.pdf, pbio.2002468.s002.zip",NA,S1 Text (17 pages; TOC + final references only),NA,not-applicable,partial,clean,partial,"S1 Text TOC exposes Parts A-C; Table A truncated mid-row; no figures visible. Source: synthesis_outputs/famulare-2018-plosbio__local.md"
famulare-2018-plosbio,paperclip,PMC5942853,not-validated,"pbio.2002468.s001.pdf, pbio.2002468.s002.zip","pbio.2002468.s001.pdf, pbio.2002468.s002.zip (listed; not opened)",NA,NA,not-applicable,NA,clean,no,"ls shows two supplement files exist; grep on content.lines found no supplement/appendix matches (paper uses 'S1 Text' vocabulary). Source: synthesis_outputs/famulare-2018-plosbio__paperclip.md"
famulare-2018-plosbio,web,"PMID 29702638; DOI 10.1371/journal.pbio.2002468",not-applicable,"pbio.2002468.s001.pdf, pbio.2002468.s002.zip",NA,NA,not visible (abstract-only),not-applicable,NA,clean,no,"Bundle is metadata + abstract only; no supplement access by design. Source: synthesis_outputs/famulare-2018-plosbio__web.md"
khoury-2021-natmed,hybrid,combined,not-validated,unknown (Nat Med supplementary appendix likely),"unknown (Paperclip returned preprint; preprint supplements not opened)",NA,NA,not-applicable,NA,NA,no,"Paperclip returned medRxiv preprint not final; web bundle is metadata + abstract only; no supplement evidence in either arm. Source: synthesis_outputs/khoury-2021-natmed__hybrid.md"
khoury-2021-natmed,paperclip,med_3287fa4e6d00,not-validated,unknown,unknown (ls/wc misrouted to Khaitan paper),NA,NA,not-applicable,NA,NA,no,"Wrong-version preprint returned; deep probes targeted wrong paper (med_19bd1cbe73d5); no supplement-directory evidence. Source: synthesis_outputs/khoury-2021-natmed__paperclip.md"
khoury-2021-natmed,web,"PMID 34002089; DOI 10.1038/s41591-021-01377-8",not-applicable,unknown,NA,NA,not visible (abstract-only),not-applicable,NA,NA,no,"Bundle is metadata + abstract only; no full text or supplementary tables. Source: synthesis_outputs/khoury-2021-natmed__web.md"
nct04232943-pmid36746739,hybrid,combined,not-validated,unknown (paper supplements + Protocol + SAP on CT.gov),"supplements/ directory empty per ls; grep matches were verb 'supplemented' not file references",NA,unknown (web bundle only summarizes CT.gov availability),available-via-CT-gov,partial,clean,partial,"Trial Protocol + SAP listed as available on CT.gov (per web arm); Paperclip supplements/ empty; paper-side supplements not enumerated. Source: synthesis_outputs/nct04232943-pmid36746739__hybrid.md"
nct04232943-pmid36746739,paperclip,PMC9996288,not-validated,unknown,supplements/ empty (per ls); grep matches not file references,NA,NA,not visible from this arm,NA,clean,no,"ls /papers/PMC9996288/ shows no supplements/ entry at root; grep on content.lines matched verb usage of 'supplemented'. Source: synthesis_outputs/nct04232943-pmid36746739__paperclip.md"
nct04232943-pmid36746739,web,"PMID 36746739; DOI 10.1016/j.vaccine.2023.01.048; NCT04232943",not-validated,unknown,NA,NA,Protocol + SAP listed as available on CT.gov,available-via-CT-gov,NA,clean,partial,"CT.gov metadata records Study Protocol and SAP as large documents; contents not retrieved. Source: synthesis_outputs/nct04232943-pmid36746739__web.md"
sfs-nejm-2020,hybrid,combined,merged-into-content-lines,"Supplementary Appendix (per NEJM landing page; includes Supplemental Table 1)","supplements/ empty on ls; Supplementary Appendix headers (L31-L44) and Supplemental Table 1 detected inline in content.lines",NA,NA,not-applicable,NA,wrong-organization-merged-into-content-lines,partial,"Canonical content-organization defect: supplement merged into content.lines without programmatic separation. Source: synthesis_outputs/sfs-nejm-2020__hybrid.md"
sfs-nejm-2020,paperclip,PMC7206929,merged-into-content-lines,Supplementary Appendix (per NEJM landing page),"supplements/ empty on ls; Supplementary Appendix headers (L31-L44) found inline in content.lines",NA,NA,not-applicable,NA,wrong-organization-merged-into-content-lines,partial,"`ls /papers/PMC7206929/supplements/` returned no entries; grep on content.lines shows '# Supplementary Appendix', 'Supplemental Table 1' inline. Source: synthesis_outputs/sfs-nejm-2020__paperclip.md"
sfs-nejm-2020,web,"PMID 32356944; DOI 10.1056/NEJMc2008646",not-validated,Supplementary Appendix (per NEJM landing page),NA,NA,not visible (abstract-only; NEJMc abstract empty),not-applicable,NA,clean,no,"Bundle is metadata only (NEJM Correspondence has empty abstract); no supplement content. Source: synthesis_outputs/sfs-nejm-2020__web.md"
